date,skill_abr,skill_count
"2020-06-01 00:00:00","machine-learning","822"
"2020-06-01 00:00:00","deep-learning","517"
"2020-06-01 00:00:00","solidity","23"
"2020-07-01 00:00:00","python","26138"
"2020-07-01 00:00:00","java","10391"
"2020-07-01 00:00:00","reactjs","8090"
"2020-07-01 00:00:00","node.js","5396"
"2020-07-01 00:00:00","sql","4365"
"2020-07-01 00:00:00","flutter","3263"
"2020-07-01 00:00:00","spring-boot","2268"
"2020-07-01 00:00:00","docker","1828"
"2020-07-01 00:00:00","kubernetes","1021"
"2020-07-01 00:00:00","machine-learning","736"
"2020-07-01 00:00:00","deep-learning","446"
"2020-07-01 00:00:00","solidity","30"
"2020-08-01 00:00:00","python","22882"
"2020-08-01 00:00:00","java","9244"
"2020-08-01 00:00:00","reactjs","7281"
"2020-08-01 00:00:00","node.js","5045"
"2020-08-01 00:00:00","sql","3862"
"2020-08-01 00:00:00","flutter","3316"
"2020-08-01 00:00:00","spring-boot","1838"
"2020-08-01 00:00:00","docker","1752"
"2020-08-01 00:00:00","kubernetes","923"
"2020-08-01 00:00:00","machine-learning","472"
"2020-08-01 00:00:00","deep-learning","351"
"2020-08-01 00:00:00","solidity","29"
"2020-09-01 00:00:00","python","21576"
"2020-09-01 00:00:00","java","8883"
"2020-09-01 00:00:00","reactjs","6926"
"2020-09-01 00:00:00","node.js","4662"
"2020-09-01 00:00:00","sql","4133"
"2020-09-01 00:00:00","flutter","2969"
"2020-09-01 00:00:00","spring-boot","1879"
"2020-09-01 00:00:00","docker","1607"
"2020-09-01 00:00:00","kubernetes","819"
"2020-09-01 00:00:00","machine-learning","421"
"2020-09-01 00:00:00","deep-learning","297"
"2020-09-01 00:00:00","solidity","21"
"2020-10-01 00:00:00","python","22634"
"2020-10-01 00:00:00","java","8879"
"2020-10-01 00:00:00","reactjs","6736"
"2020-10-01 00:00:00","node.js","4374"
"2020-10-01 00:00:00","sql","4245"
"2020-10-01 00:00:00","flutter","3123"
"2020-10-01 00:00:00","spring-boot","1740"
"2020-10-01 00:00:00","docker","1506"
"2020-10-01 00:00:00","kubernetes","926"
"2020-10-01 00:00:00","machine-learning","491"
"2020-10-01 00:00:00","deep-learning","334"
"2020-10-01 00:00:00","solidity","31"
"2020-11-01 00:00:00","python","21985"
"2020-11-01 00:00:00","java","8411"
"2020-11-01 00:00:00","reactjs","6420"
"2020-11-01 00:00:00","sql","4164"
"2020-11-01 00:00:00","node.js","4020"
"2020-11-01 00:00:00","flutter","2904"
"2020-11-01 00:00:00","spring-boot","1560"
"2020-11-01 00:00:00","docker","1414"
"2020-11-01 00:00:00","kubernetes","770"
"2020-11-01 00:00:00","machine-learning","543"
"2020-11-01 00:00:00","deep-learning","329"
"2020-11-01 00:00:00","solidity","36"
"2020-12-01 00:00:00","python","22018"
"2020-12-01 00:00:00","java","7744"
"2020-12-01 00:00:00","reactjs","6553"
"2020-12-01 00:00:00","node.js","4358"
"2020-12-01 00:00:00","sql","3938"
"2020-12-01 00:00:00","flutter","2962"
"2020-12-01 00:00:00","spring-boot","1507"
"2020-12-01 00:00:00","docker","1412"
"2020-12-01 00:00:00","kubernetes","755"
"2020-12-01 00:00:00","machine-learning","511"
"2020-12-01 00:00:00","deep-learning","319"
"2020-12-01 00:00:00","solidity","42"
"2021-01-01 00:00:00","python","22722"
"2021-01-01 00:00:00","java","7987"
"2021-01-01 00:00:00","reactjs","7218"
"2021-01-01 00:00:00","node.js","4558"
"2021-01-01 00:00:00","sql","3623"
"2021-01-01 00:00:00","flutter","3081"
"2021-01-01 00:00:00","spring-boot","1651"
"2021-01-01 00:00:00","docker","1596"
"2021-01-01 00:00:00","kubernetes","836"
"2021-01-01 00:00:00","machine-learning","619"
"2021-01-01 00:00:00","deep-learning","342"
"2021-01-01 00:00:00","solidity","46"
"2021-02-01 00:00:00","python","21253"
"2021-02-01 00:00:00","java","7524"
"2021-02-01 00:00:00","reactjs","6451"
"2021-02-01 00:00:00","node.js","4114"
"2021-02-01 00:00:00","sql","3562"
"2021-02-01 00:00:00","flutter","2923"
"2021-02-01 00:00:00","spring-boot","1590"
"2021-02-01 00:00:00","docker","1520"
"2021-02-01 00:00:00","kubernetes","850"
"2021-02-01 00:00:00","machine-learning","500"
"2021-02-01 00:00:00","deep-learning","271"
"2021-02-01 00:00:00","solidity","42"
"2021-03-01 00:00:00","python","23660"
"2021-03-01 00:00:00","java","8606"
"2021-03-01 00:00:00","reactjs","7580"
"2021-03-01 00:00:00","node.js","4700"
"2021-03-01 00:00:00","sql","4165"
"2021-03-01 00:00:00","flutter","3636"
"2021-03-01 00:00:00","spring-boot","1896"
"2021-03-01 00:00:00","docker","1743"
"2021-03-01 00:00:00","kubernetes","881"
"2021-03-01 00:00:00","machine-learning","508"
"2021-03-01 00:00:00","deep-learning","292"
"2021-03-01 00:00:00","solidity","80"
"2021-04-01 00:00:00","python","22222"
"2021-04-01 00:00:00","java","7862"
"2021-04-01 00:00:00","reactjs","7138"
"2021-04-01 00:00:00","node.js","4279"
"2021-04-01 00:00:00","sql","3885"
"2021-04-01 00:00:00","flutter","3304"
"2021-04-01 00:00:00","spring-boot","1630"
"2021-04-01 00:00:00","docker","1491"
"2021-04-01 00:00:00","kubernetes","814"
"2021-04-01 00:00:00","machine-learning","455"
"2021-04-01 00:00:00","deep-learning","303"
"2021-04-01 00:00:00","solidity","138"
"2021-05-01 00:00:00","python","22216"
"2021-05-01 00:00:00","java","7888"
"2021-05-01 00:00:00","reactjs","6957"
"2021-05-01 00:00:00","node.js","4587"
"2021-05-01 00:00:00","sql","3751"
"2021-05-01 00:00:00","flutter","3548"
"2021-05-01 00:00:00","spring-boot","1649"
"2021-05-01 00:00:00","docker","1542"
"2021-05-01 00:00:00","kubernetes","773"
"2021-05-01 00:00:00","machine-learning","458"
"2021-05-01 00:00:00","deep-learning","285"
"2021-05-01 00:00:00","solidity","119"
"2021-06-01 00:00:00","python","20710"
"2021-06-01 00:00:00","java","7526"
"2021-06-01 00:00:00","reactjs","6645"
"2021-06-01 00:00:00","node.js","4135"
"2021-06-01 00:00:00","sql","3882"
"2021-06-01 00:00:00","flutter","3447"
"2021-06-01 00:00:00","spring-boot","1722"
"2021-06-01 00:00:00","docker","1487"
"2021-06-01 00:00:00","kubernetes","791"
"2021-06-01 00:00:00","machine-learning","413"
"2021-06-01 00:00:00","deep-learning","303"
"2021-06-01 00:00:00","solidity","145"
"2021-07-01 00:00:00","python","20409"
"2021-07-01 00:00:00","java","6892"
"2021-07-01 00:00:00","reactjs","6649"
"2021-07-01 00:00:00","node.js","4001"
"2021-07-01 00:00:00","sql","3617"
"2021-07-01 00:00:00","flutter","3173"
"2021-07-01 00:00:00","spring-boot","1573"
"2021-07-01 00:00:00","docker","1440"
"2021-07-01 00:00:00","kubernetes","822"
"2021-07-01 00:00:00","machine-learning","385"
"2021-07-01 00:00:00","deep-learning","256"
"2021-07-01 00:00:00","solidity","134"
"2021-08-01 00:00:00","python","19652"
"2021-08-01 00:00:00","reactjs","6691"
"2021-08-01 00:00:00","java","6685"
"2021-08-01 00:00:00","node.js","3866"
"2021-08-01 00:00:00","sql","3547"
"2021-08-01 00:00:00","flutter","3262"
"2021-08-01 00:00:00","spring-boot","1544"
"2021-08-01 00:00:00","docker","1528"
"2021-08-01 00:00:00","kubernetes","759"
"2021-08-01 00:00:00","machine-learning","426"
"2021-08-01 00:00:00","deep-learning","279"
"2021-08-01 00:00:00","solidity","130"
"2021-09-01 00:00:00","python","18851"
"2021-09-01 00:00:00","reactjs","6869"
"2021-09-01 00:00:00","java","6560"
"2021-09-01 00:00:00","node.js","3835"
"2021-09-01 00:00:00","sql","3402"
"2021-09-01 00:00:00","flutter","3393"
"2021-09-01 00:00:00","spring-boot","1584"
"2021-09-01 00:00:00","docker","1502"
"2021-09-01 00:00:00","kubernetes","791"
"2021-09-01 00:00:00","machine-learning","320"
"2021-09-01 00:00:00","deep-learning","255"
"2021-09-01 00:00:00","solidity","148"
"2021-10-01 00:00:00","python","19638"
"2021-10-01 00:00:00","java","6505"
"2021-10-01 00:00:00","reactjs","6377"
"2021-10-01 00:00:00","node.js","3585"
"2021-10-01 00:00:00","sql","3192"
"2021-10-01 00:00:00","flutter","3009"
"2021-10-01 00:00:00","spring-boot","1437"
"2021-10-01 00:00:00","docker","1435"
"2021-10-01 00:00:00","kubernetes","815"
"2021-10-01 00:00:00","machine-learning","347"
"2021-10-01 00:00:00","deep-learning","240"
"2021-10-01 00:00:00","solidity","131"
"2021-11-01 00:00:00","python","19864"
"2021-11-01 00:00:00","java","6845"
"2021-11-01 00:00:00","reactjs","6382"
"2021-11-01 00:00:00","node.js","3556"
"2021-11-01 00:00:00","sql","3347"
"2021-11-01 00:00:00","flutter","2824"
"2021-11-01 00:00:00","spring-boot","1504"
"2021-11-01 00:00:00","docker","1350"
"2021-11-01 00:00:00","kubernetes","703"
"2021-11-01 00:00:00","machine-learning","353"
"2021-11-01 00:00:00","deep-learning","252"
"2021-11-01 00:00:00","solidity","176"
"2021-12-01 00:00:00","python","18861"
"2021-12-01 00:00:00","reactjs","6326"
"2021-12-01 00:00:00","java","6130"
"2021-12-01 00:00:00","node.js","3622"
"2021-12-01 00:00:00","sql","3155"
"2021-12-01 00:00:00","flutter","2832"
"2021-12-01 00:00:00","spring-boot","1424"
"2021-12-01 00:00:00","docker","1392"
"2021-12-01 00:00:00","kubernetes","726"
"2021-12-01 00:00:00","machine-learning","317"
"2021-12-01 00:00:00","deep-learning","257"
"2021-12-01 00:00:00","solidity","194"
"2022-01-01 00:00:00","python","19511"
"2022-01-01 00:00:00","reactjs","7077"
"2022-01-01 00:00:00","java","6370"
"2022-01-01 00:00:00","node.js","3836"
"2022-01-01 00:00:00","flutter","3290"
"2022-01-01 00:00:00","sql","3083"
"2022-01-01 00:00:00","spring-boot","1529"
"2022-01-01 00:00:00","docker","1475"
"2022-01-01 00:00:00","kubernetes","794"
"2022-01-01 00:00:00","machine-learning","315"
"2022-01-01 00:00:00","solidity","293"
"2022-01-01 00:00:00","deep-learning","265"
"2022-02-01 00:00:00","python","19088"
"2022-02-01 00:00:00","reactjs","6461"
"2022-02-01 00:00:00","java","5852"
"2022-02-01 00:00:00","node.js","3516"
"2022-02-01 00:00:00","flutter","3374"
"2022-02-01 00:00:00","sql","3183"
"2022-02-01 00:00:00","spring-boot","1432"
"2022-02-01 00:00:00","docker","1372"
"2022-02-01 00:00:00","kubernetes","748"
"2022-02-01 00:00:00","machine-learning","332"
"2022-02-01 00:00:00","deep-learning","249"
"2022-02-01 00:00:00","solidity","249"
"2022-03-01 00:00:00","python","20536"
"2022-03-01 00:00:00","reactjs","7061"
"2022-03-01 00:00:00","java","6500"
"2022-03-01 00:00:00","node.js","3653"
"2022-03-01 00:00:00","flutter","3642"
"2022-03-01 00:00:00","sql","3430"
"2022-03-01 00:00:00","spring-boot","1533"
"2022-03-01 00:00:00","docker","1391"
"2022-03-01 00:00:00","kubernetes","770"
"2022-03-01 00:00:00","machine-learning","316"
"2022-03-01 00:00:00","deep-learning","285"
"2022-03-01 00:00:00","solidity","282"
"2022-04-01 00:00:00","python","19625"
"2022-04-01 00:00:00","reactjs","7123"
"2022-04-01 00:00:00","java","6288"
"2022-04-01 00:00:00","node.js","3523"
"2022-04-01 00:00:00","sql","3216"
"2022-04-01 00:00:00","flutter","2995"
"2022-04-01 00:00:00","spring-boot","1452"
"2022-04-01 00:00:00","docker","1431"
"2022-04-01 00:00:00","kubernetes","623"
"2022-04-01 00:00:00","machine-learning","328"
"2022-04-01 00:00:00","solidity","280"
"2022-04-01 00:00:00","deep-learning","266"
"2022-05-01 00:00:00","python","19202"
"2022-05-01 00:00:00","reactjs","6972"
"2022-05-01 00:00:00","java","6399"
"2022-05-01 00:00:00","node.js","3566"
"2022-05-01 00:00:00","sql","3302"
"2022-05-01 00:00:00","flutter","3252"
"2022-05-01 00:00:00","spring-boot","1507"
"2022-05-01 00:00:00","docker","1478"
"2022-05-01 00:00:00","kubernetes","709"
"2022-05-01 00:00:00","machine-learning","436"
"2022-05-01 00:00:00","deep-learning","278"
"2022-05-01 00:00:00","solidity","235"
